Unnamed: 0.1,Unnamed: 0,duration (ms),danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,spec_rate,labels,uri
269660,269660,199246.0,0.704,0.628,-7.882,0.162,0.0626,1.49e-06,0.103,0.654,92.005,8.130652560151772e-07,1,spotify:track:7nRmfGNhHKEEu5o8yFXLXt
269661,269661,140250.0,0.733,0.514,-10.551,0.0408,0.0153,0.333,0.295,0.455,79.992,2.909090909090909e-07,1,spotify:track:7nTJjogr0O2EAjRb4jDIuH
269662,269662,283067.0,0.42,0.726,-7.113,0.415,0.516,0.0,0.0907,0.316,76.585,1.4660840013141765e-06,1,spotify:track:7nWxZ1OWN4gtVH1mplNRxV
269663,269663,125354.0,0.546,0.422,-12.383,0.0282,0.646,0.769,0.155,0.427,157.028,2.2496290505289025e-07,0,spotify:track:7nX4292m7E2yXft3H1aDp5
269664,269664,245960.0,0.435,0.92,-1.357,0.201,0.235,0.000353,0.552,0.45,188.899,8.172060497641893e-07,2,spotify:track:7nXq1vaZiz7PdbfojpPjW5
269665,269665,173773.0,0.55,0.342,-12.184,0.0293,0.764,0.00985,0.107,0.589,97.152,1.686107738256231e-07,0,spotify:track:7nZf4oOrYSOnlDSPiObea9
269666,269666,139595.0,0.714,0.368,-8.293,0.0464,0.211,0.861,0.105,0.0625,83.03,3.323901285862674e-07,3,spotify:track:7ngkoyskxYZo3bPTYRfI7m
269667,269667,219637.0,0.834,0.547,-12.108,0.0516,0.223,0.11,0.197,0.596,113.009,2.349330941508034e-07,1,spotify:track:7nkxIKWh0PQYwYcKmwt1Fj
269668,269668,248000.0,0.499,0.486,-7.429,0.0277,0.224,0.0,0.232,0.304,147.165,1.1169354838709677e-07,0,spotify:track:7nlDAJZuqDpNx7fRcN6Vgy
269669,269669,196404.0,0.495,0.56,-11.485,0.0302,0.119,0.000267,0.106,0.366,91.985,1.5376468911020149e-07,0,spotify:track:7nnAG9ggdFZGioAfj1hrd6
269670,269670,232453.0,0.645,0.792,-7.34,0.036,0.0562,0.0121,0.119,0.666,90.565,1.548700167345657e-07,1,spotify:track:7nnWIPM5hwE3DaUBkvOIpy
